Date,State,Confirmed,Recovered,Deaths
2020-03-13,Andhra Pradesh,1,0,0
2020-03-15,Andhra Pradesh,1,0,0
2020-03-21,Andhra Pradesh,3,0,0
2020-03-29,Andhra Pradesh,19,1,0
2020-04-04,Andhra Pradesh,161,1,1
2020-04-07,Andhra Pradesh,266,1,3
2020-04-23,Andhra Pradesh,895,141,27
2020-04-24,Andhra Pradesh,955,145,29
2020-05-04,Andhra Pradesh,1650,524,36
2020-05-09,Andhra Pradesh,1887,842,41
2020-05-14,Andhra Pradesh,2137,1142,47
2020-05-18,Andhra Pradesh,2407,1456,50
2020-05-21,Andhra Pradesh,2602,1640,53
2020-05-24,Andhra Pradesh,2757,1809,56
2020-06-13,Andhra Pradesh,5680,3105,80
2020-06-19,Andhra Pradesh,7518,3789,92
2020-06-25,Andhra Pradesh,10331,4779,124
2020-06-26,Andhra Pradesh,10884,4988,136
2020-07-02,Andhra Pradesh,15252,6988,193
2020-07-11,Andhra Pradesh,25422,13194,292
2020-07-12,Andhra Pradesh,27235,14393,309
2020-07-14,Andhra Pradesh,31103,16464,365
2020-07-16,Andhra Pradesh,35451,18378,452
2020-07-18,Andhra Pradesh,40646,20298,534
2020-07-26,Andhra Pradesh,88671,43255,985
2020-08-14,Andhra Pradesh,264142,170984,2378
2020-09-07,Andhra Pradesh,498125,394019,4417
2020-09-11,Andhra Pradesh,537687,435647,4702
2020-09-16,Andhra Pradesh,583925,486531,5041
2020-09-23,Andhra Pradesh,639302,562376,5461
2020-09-24,Andhra Pradesh,646530,570667,5506
2020-10-04,Andhra Pradesh,713014,651791,5941
2020-10-05,Andhra Pradesh,719256,658875,5981
2020-10-17,Andhra Pradesh,775470,730109,6382
2020-10-26,Andhra Pradesh,807023,769576,6587
2020-10-30,Andhra Pradesh,817679,784752,6659
2020-11-05,Andhra Pradesh,833208,805026,6744
2020-11-09,Andhra Pradesh,842967,814773,6791
2020-11-20,Andhra Pradesh,858711,835801,6910
2020-11-24,Andhra Pradesh,862758,842416,6948
2020-12-10,Andhra Pradesh,873457,861153,7045
2020-12-13,Andhra Pradesh,875025,862895,7052
2020-12-14,Andhra Pradesh,875531,863508,7057
2020-12-21,Andhra Pradesh,878723,867445,7076
2020-12-28,Andhra Pradesh,881061,870342,7094
2021-01-02,Andhra Pradesh,882612,872266,7108
2021-01-07,Andhra Pradesh,883876,873855,7125
2021-01-08,Andhra Pradesh,884171,874223,7126
2021-01-12,Andhra Pradesh,885037,875456,7131
2021-01-14,Andhra Pradesh,885437,875921,7134
2021-01-18,Andhra Pradesh,885985,876949,7140
2021-02-01,Andhra Pradesh,887836,879405,7153
2021-03-02,Andhra Pradesh,889974,882080,7169
2021-03-05,Andhra Pradesh,890317,882275,7171
2021-03-30,Andhra Pradesh,899812,886498,7210
2021-04-06,Andhra Pradesh,909002,891048,7244
2021-04-16,Andhra Pradesh,942135,903072,7353
2021-04-17,Andhra Pradesh,948231,905266,7373
2021-04-30,Andhra Pradesh,1084336,962250,7928
2021-05-12,Andhra Pradesh,1322934,1118933,8899
2021-05-24,Andhra Pradesh,1580827,1361464,10126
2021-06-03,Andhra Pradesh,1717156,1562229,11132
2021-06-21,Andhra Pradesh,1850563,1775176,12319
2021-06-27,Andhra Pradesh,1875622,1816930,12566
2021-06-30,Andhra Pradesh,1885716,1832971,12671
2021-07-06,Andhra Pradesh,1905023,1858189,12870
2021-07-17,Andhra Pradesh,1934450,1896499,13097
2021-07-24,Andhra Pradesh,1950339,1914177,13223
2021-07-27,Andhra Pradesh,1956392,1921371,13273
2021-08-02,Andhra Pradesh,1968462,1934048,13395
2021-08-23,Andhra Pradesh,2002340,1973940,13723
2021-09-07,Andhra Pradesh,2022064,1993589,13925
2021-09-10,Andhra Pradesh,2026042,1997454,13964
2021-09-18,Andhra Pradesh,2034786,2006034,14044
2021-10-05,Andhra Pradesh,2053192,2029231,14208
2021-10-07,Andhra Pradesh,2054663,2031681,14228
2021-10-09,Andhra Pradesh,2055999,2033447,14242
2021-10-13,Andhra Pradesh,2058065,2036865,14268
2021-10-20,Andhra Pradesh,2061287,2041316,14317
2021-10-25,Andhra Pradesh,2063577,2044132,14343
2021-10-27,Andhra Pradesh,2064287,2045276,14356
2021-11-05,Andhra Pradesh,2067556,2049338,14388
2021-11-12,Andhra Pradesh,2069352,2051747,14409
2021-11-16,Andhra Pradesh,2070095,2052718,14416
2021-11-28,Andhra Pradesh,2072446,2055856,14432
2021-11-29,Andhra Pradesh,2072624,2056046,14438
2021-12-06,Andhra Pradesh,2073730,2057156,14452
2021-12-11,Andhra Pradesh,2074552,2058101,14462
2021-12-19,Andhra Pradesh,2075683,2059500,14478
2021-12-20,Andhra Pradesh,2075804,2059728,14479
2021-12-29,Andhra Pradesh,2076687,2061122,14492
2022-01-02,Andhra Pradesh,2077321,2061599,14495
2022-01-19,Andhra Pradesh,2117384,2066762,14514
2022-01-22,Andhra Pradesh,2153268,2074600,14532
2022-01-26,Andhra Pradesh,2208955,2092998,14561
2022-01-27,Andhra Pradesh,2222573,2101685,14570
2022-02-03,Andhra Pradesh,2288566,2173313,14631
2022-02-05,Andhra Pradesh,2297369,2194359,14646
2022-02-08,Andhra Pradesh,2305052,2227985,14672
2022-02-17,Andhra Pradesh,2314502,2288989,14705
2022-02-24,Andhra Pradesh,2316964,2297065,14718
2022-03-10,Andhra Pradesh,2318617,2303130,14729
2022-03-21,Andhra Pradesh,2319230,2303989,14730
2022-03-26,Andhra Pradesh,2319407,2304248,14730
2022-04-03,Andhra Pradesh,2319566,2304661,14730
2022-04-04,Andhra Pradesh,2319577,2304697,14730
2022-04-05,Andhra Pradesh,2319578,2304729,14730
2022-04-13,Andhra Pradesh,2319616,2304845,14730
2022-04-17,Andhra Pradesh,2319640,2304872,14730
2022-05-08,Andhra Pradesh,2319737,2304957,14730
2022-05-12,Andhra Pradesh,2319756,2304978,14730
2022-05-15,Andhra Pradesh,2319814,2305005,14730
2022-06-08,Andhra Pradesh,2320008,2305198,14731
2022-06-30,Andhra Pradesh,2321379,2305893,14731
2022-07-10,Andhra Pradesh,2323948,2307283,14732
2022-08-08,Andhra Pradesh,2333672,2317309,14733
2022-08-09,Andhra Pradesh,2333710,2317524,14733
2022-08-13,Andhra Pradesh,2334493,2318582,14733
2022-08-21,Andhra Pradesh,2335791,2319961,14733
2022-08-24,Andhra Pradesh,2336130,2320358,14733
2022-08-30,Andhra Pradesh,2336750,2321283,14733
2022-09-03,Andhra Pradesh,2337085,2321753,14733
2022-09-04,Andhra Pradesh,2337156,2321850,14733
2022-09-08,Andhra Pradesh,0,2322212,14733
2022-09-25,Andhra Pradesh,2338120,2323129,14733
2022-10-02,Andhra Pradesh,2338350,2323392,14733
2022-10-07,Andhra Pradesh,2338440,2323547,14733
2022-10-08,Andhra Pradesh,2338477,2323588,14733
2022-10-10,Andhra Pradesh,2338531,2323634,14733
2022-10-12,Andhra Pradesh,2338554,2323692,14733
2022-11-02,Andhra Pradesh,2338949,2324077,14733
2022-11-13,Andhra Pradesh,2339026,2324240,14733
2022-11-15,Andhra Pradesh,2339033,2324254,14733
2022-11-28,Andhra Pradesh,2339051,2324307,14733
2022-12-17,Andhra Pradesh,2339063,2324326,14733
2022-12-26,Andhra Pradesh,2339067,2324330,14733
2023-01-03,Andhra Pradesh,2339069,2324334,14733
2023-01-07,Andhra Pradesh,2339073,2324336,14733
2023-01-21,Andhra Pradesh,2339079,2324343,14733
2023-01-30,Andhra Pradesh,2339083,2324346,14733
2020-03-27,Andaman and Nicobar Islands,2,0,0
2020-04-07,Andaman and Nicobar Islands,10,0,0
2020-04-09,Andaman and Nicobar Islands,11,0,0
2020-04-10,Andaman and Nicobar Islands,11,0,0
2020-04-15,Andaman and Nicobar Islands,11,10,0
2020-05-11,Andaman and Nicobar Islands,33,33,0
2020-05-13,Andaman and Nicobar Islands,33,33,0
2020-05-21,Andaman and Nicobar Islands,33,33,0
2020-05-23,Andaman and Nicobar Islands,33,33,0
2020-05-25,Andaman and Nicobar Islands,33,33,0
2020-05-28,Andaman and Nicobar Islands,33,33,0
2020-06-18,Andaman and Nicobar Islands,44,33,0
2020-06-20,Andaman and Nicobar Islands,45,35,0
2020-06-22,Andaman and Nicobar Islands,48,37,0
2020-06-27,Andaman and Nicobar Islands,72,43,0
2020-07-12,Andaman and Nicobar Islands,163,93,0
2020-07-18,Andaman and Nicobar Islands,194,142,0
2020-07-26,Andaman and Nicobar Islands,290,176,0
2020-07-29,Andaman and Nicobar Islands,363,196,1
2020-07-30,Andaman and Nicobar Islands,428,201,2
2020-08-02,Andaman and Nicobar Islands,636,226,7
2020-08-11,Andaman and Nicobar Islands,1625,709,20
2020-08-13,Andaman and Nicobar Islands,1900,829,21
2020-08-31,Andaman and Nicobar Islands,3104,2586,45
2020-09-06,Andaman and Nicobar Islands,3292,2904,50
2020-09-15,Andaman and Nicobar Islands,3557,3278,52
2020-09-19,Andaman and Nicobar Islands,3631,3414,52
2020-10-12,Andaman and Nicobar Islands,4005,3764,55
2020-10-16,Andaman and Nicobar Islands,4062,3817,55
2020-10-23,Andaman and Nicobar Islands,4184,3937,57
2020-10-24,Andaman and Nicobar Islands,4207,3945,58
2020-10-27,Andaman and Nicobar Islands,4253,3997,58
2020-10-31,Andaman and Nicobar Islands,4317,4076,59
2020-11-18,Andaman and Nicobar Islands,4574,4363,61
2020-11-26,Andaman and Nicobar Islands,4677,4479,61
2020-12-12,Andaman and Nicobar Islands,4798,4659,61
2020-12-13,Andaman and Nicobar Islands,4805,4665,61
2020-12-18,Andaman and Nicobar Islands,4860,4707,61
2020-12-23,Andaman and Nicobar Islands,4893,4749,62
2020-12-29,Andaman and Nicobar Islands,4929,4803,62
2021-01-06,Andaman and Nicobar Islands,4949,4856,62
2021-01-16,Andaman and Nicobar Islands,4979,4895,62
2021-01-19,Andaman and Nicobar Islands,4988,4897,62
2021-02-01,Andaman and Nicobar Islands,4994,4928,62
2021-02-08,Andaman and Nicobar Islands,5001,4932,62
2021-02-12,Andaman and Nicobar Islands,5007,4932,62
2021-02-14,Andaman and Nicobar Islands,5009,4938,62
2021-02-15,Andaman and Nicobar Islands,5009,4938,62
2021-02-24,Andaman and Nicobar Islands,5016,4949,62
2021-02-25,Andaman and Nicobar Islands,5016,4950,62
2021-03-08,Andaman and Nicobar Islands,5024,4955,62
2021-03-20,Andaman and Nicobar Islands,5038,4969,62
2021-04-27,Andaman and Nicobar Islands,5716,5520,66
2021-05-01,Andaman and Nicobar Islands,5949,5701,67
2021-05-10,Andaman and Nicobar Islands,6367,6088,76
2021-05-18,Andaman and Nicobar Islands,6638,6329,89
2021-06-01,Andaman and Nicobar Islands,7005,6719,115
2021-06-03,Andaman and Nicobar Islands,7043,6781,119
2021-06-04,Andaman and Nicobar Islands,7070,6820,119
2021-06-07,Andaman and Nicobar Islands,7119,6894,122
2021-06-09,Andaman and Nicobar Islands,7154,6935,125
2021-06-12,Andaman and Nicobar Islands,7233,6984,125
2021-06-17,Andaman and Nicobar Islands,7306,7079,127
2021-06-28,Andaman and Nicobar Islands,7455,7266,127
2021-07-08,Andaman and Nicobar Islands,7491,7349,128
2021-07-23,Andaman and Nicobar Islands,7525,7377,129
2021-08-06,Andaman and Nicobar Islands,7541,7408,129
2021-09-04,Andaman and Nicobar Islands,7570,7432,129
2021-09-06,Andaman and Nicobar Islands,7572,7437,129
2021-09-25,Andaman and Nicobar Islands,7617,7472,129
2021-09-28,Andaman and Nicobar Islands,7619,7479,129
2021-09-29,Andaman and Nicobar Islands,7620,7480,129
2021-10-02,Andaman and Nicobar Islands,7621,7484,129
2021-10-09,Andaman and Nicobar Islands,7629,7490,129
2021-10-15,Andaman and Nicobar Islands,7640,7501,129
2021-10-21,Andaman and Nicobar Islands,7646,7510,129
2021-11-15,Andaman and Nicobar Islands,7674,7534,129
2021-12-01,Andaman and Nicobar Islands,7683,7548,129
2021-12-19,Andaman and Nicobar Islands,7701,7570,129
2021-12-27,Andaman and Nicobar Islands,7714,7576,129
2022-01-05,Andaman and Nicobar Islands,7799,7596,129
2022-01-11,Andaman and Nicobar Islands,8246,7724,129
2022-01-15,Andaman and Nicobar Islands,8538,7938,129
2022-02-04,Andaman and Nicobar Islands,9867,9490,129
2022-02-13,Andaman and Nicobar Islands,9974,9706,129
2022-02-15,Andaman and Nicobar Islands,9981,9735,129
2022-02-24,Andaman and Nicobar Islands,10015,9862,129
2022-02-25,Andaman and Nicobar Islands,10015,9868,129
2022-03-06,Andaman and Nicobar Islands,10024,9888,129
2022-03-08,Andaman and Nicobar Islands,10024,9890,129
2022-03-11,Andaman and Nicobar Islands,10025,9891,129
