Date,Year,Quarter,Month Number,Month,Month Short,Week Number,Day,Day Name,Day Number,Weekend
2020-03-10,2020,1,3,March,Mar,11,10,Tuesday,3,No
2020-03-11,2020,1,3,March,Mar,11,11,Wednesday,4,No
2020-03-12,2020,1,3,March,Mar,11,12,Thursday,5,No
2020-03-13,2020,1,3,March,Mar,11,13,Friday,6,No
2020-03-14,2020,1,3,March,Mar,11,14,Saturday,7,Yes
2020-03-15,2020,1,3,March,Mar,11,15,Sunday,1,Yes
2020-03-16,2020,1,3,March,Mar,12,16,Monday,2,No
2020-03-17,2020,1,3,March,Mar,12,17,Tuesday,3,No
2020-03-18,2020,1,3,March,Mar,12,18,Wednesday,4,No
2020-03-19,2020,1,3,March,Mar,12,19,Thursday,5,No
2020-03-20,2020,1,3,March,Mar,12,20,Friday,6,No
2020-03-21,2020,1,3,March,Mar,12,21,Saturday,7,Yes
2020-03-22,2020,1,3,March,Mar,12,22,Sunday,1,Yes
2020-03-23,2020,1,3,March,Mar,13,23,Monday,2,No
2020-03-24,2020,1,3,March,Mar,13,24,Tuesday,3,No
2020-03-25,2020,1,3,March,Mar,13,25,Wednesday,4,No
2020-03-26,2020,1,3,March,Mar,13,26,Thursday,5,No
2020-03-27,2020,1,3,March,Mar,13,27,Friday,6,No
2020-03-28,2020,1,3,March,Mar,13,28,Saturday,7,Yes
2020-03-29,2020,1,3,March,Mar,13,29,Sunday,1,Yes
2020-03-30,2020,1,3,March,Mar,14,30,Monday,2,No
2020-03-31,2020,1,3,March,Mar,14,31,Tuesday,3,No
2020-04-01,2020,2,4,April,Apr,14,1,Wednesday,4,No
2020-04-02,2020,2,4,April,Apr,14,2,Thursday,5,No
2020-04-03,2020,2,4,April,Apr,14,3,Friday,6,No
2020-04-04,2020,2,4,April,Apr,14,4,Saturday,7,Yes
2020-04-05,2020,2,4,April,Apr,14,5,Sunday,1,Yes
2020-04-06,2020,2,4,April,Apr,15,6,Monday,2,No
2020-04-07,2020,2,4,April,Apr,15,7,Tuesday,3,No
2020-04-08,2020,2,4,April,Apr,15,8,Wednesday,4,No
2020-04-09,2020,2,4,April,Apr,15,9,Thursday,5,No
2020-04-10,2020,2,4,April,Apr,15,10,Friday,6,No
2020-04-11,2020,2,4,April,Apr,15,11,Saturday,7,Yes
2020-04-12,2020,2,4,April,Apr,15,12,Sunday,1,Yes
2020-04-13,2020,2,4,April,Apr,16,13,Monday,2,No
2020-04-14,2020,2,4,April,Apr,16,14,Tuesday,3,No
2020-04-15,2020,2,4,April,Apr,16,15,Wednesday,4,No
2020-04-16,2020,2,4,April,Apr,16,16,Thursday,5,No
2020-04-17,2020,2,4,April,Apr,16,17,Friday,6,No
2020-04-18,2020,2,4,April,Apr,16,18,Saturday,7,Yes
2020-04-19,2020,2,4,April,Apr,16,19,Sunday,1,Yes
2020-04-20,2020,2,4,April,Apr,17,20,Monday,2,No
2020-04-21,2020,2,4,April,Apr,17,21,Tuesday,3,No
2020-04-22,2020,2,4,April,Apr,17,22,Wednesday,4,No
2020-04-23,2020,2,4,April,Apr,17,23,Thursday,5,No
2020-04-24,2020,2,4,April,Apr,17,24,Friday,6,No
2020-04-25,2020,2,4,April,Apr,17,25,Saturday,7,Yes
2020-04-26,2020,2,4,April,Apr,17,26,Sunday,1,Yes
2020-04-27,2020,2,4,April,Apr,18,27,Monday,2,No
2020-04-28,2020,2,4,April,Apr,18,28,Tuesday,3,No
2020-04-29,2020,2,4,April,Apr,18,29,Wednesday,4,No
2020-04-30,2020,2,4,April,Apr,18,30,Thursday,5,No
2020-05-01,2020,2,5,May,May,18,1,Friday,6,No
2020-05-02,2020,2,5,May,May,18,2,Saturday,7,Yes
2020-05-03,2020,2,5,May,May,18,3,Sunday,1,Yes
2020-05-04,2020,2,5,May,May,19,4,Monday,2,No
2020-05-05,2020,2,5,May,May,19,5,Tuesday,3,No
2020-05-06,2020,2,5,May,May,19,6,Wednesday,4,No
2020-05-07,2020,2,5,May,May,19,7,Thursday,5,No
2020-05-08,2020,2,5,May,May,19,8,Friday,6,No
2020-05-09,2020,2,5,May,May,19,9,Saturday,7,Yes
2020-05-10,2020,2,5,May,May,19,10,Sunday,1,Yes
2020-05-11,2020,2,5,May,May,20,11,Monday,2,No
2020-05-12,2020,2,5,May,May,20,12,Tuesday,3,No
2020-05-13,2020,2,5,May,May,20,13,Wednesday,4,No
2020-05-14,2020,2,5,May,May,20,14,Thursday,5,No
2020-05-15,2020,2,5,May,May,20,15,Friday,6,No
2020-05-16,2020,2,5,May,May,20,16,Saturday,7,Yes
2020-05-17,2020,2,5,May,May,20,17,Sunday,1,Yes
2020-05-18,2020,2,5,May,May,21,18,Monday,2,No
2020-05-19,2020,2,5,May,May,21,19,Tuesday,3,No
2020-05-20,2020,2,5,May,May,21,20,Wednesday,4,No
2020-05-21,2020,2,5,May,May,21,21,Thursday,5,No
2020-05-22,2020,2,5,May,May,21,22,Friday,6,No
2020-05-23,2020,2,5,May,May,21,23,Saturday,7,Yes
2020-05-24,2020,2,5,May,May,21,24,Sunday,1,Yes
2020-05-25,2020,2,5,May,May,22,25,Monday,2,No
2020-05-26,2020,2,5,May,May,22,26,Tuesday,3,No
2020-05-27,2020,2,5,May,May,22,27,Wednesday,4,No
2020-05-28,2020,2,5,May,May,22,28,Thursday,5,No
2020-05-29,2020,2,5,May,May,22,29,Friday,6,No
2020-05-30,2020,2,5,May,May,22,30,Saturday,7,Yes
2020-05-31,2020,2,5,May,May,22,31,Sunday,1,Yes
2020-06-01,2020,2,6,June,Jun,23,1,Monday,2,No
2020-06-02,2020,2,6,June,Jun,23,2,Tuesday,3,No
2020-06-03,2020,2,6,June,Jun,23,3,Wednesday,4,No
2020-06-04,2020,2,6,June,Jun,23,4,Thursday,5,No
2020-06-05,2020,2,6,June,Jun,23,5,Friday,6,No
2020-06-06,2020,2,6,June,Jun,23,6,Saturday,7,Yes
2020-06-07,2020,2,6,June,Jun,23,7,Sunday,1,Yes
2020-06-08,2020,2,6,June,Jun,24,8,Monday,2,No
2020-06-09,2020,2,6,June,Jun,24,9,Tuesday,3,No
2020-06-10,2020,2,6,June,Jun,24,10,Wednesday,4,No
2020-06-11,2020,2,6,June,Jun,24,11,Thursday,5,No
2020-06-12,2020,2,6,June,Jun,24,12,Friday,6,No
2020-06-13,2020,2,6,June,Jun,24,13,Saturday,7,Yes
2020-06-14,2020,2,6,June,Jun,24,14,Sunday,1,Yes
2020-06-15,2020,2,6,June,Jun,25,15,Monday,2,No
2020-06-16,2020,2,6,June,Jun,25,16,Tuesday,3,No
2020-06-17,2020,2,6,June,Jun,25,17,Wednesday,4,No
2020-06-18,2020,2,6,June,Jun,25,18,Thursday,5,No
2020-06-19,2020,2,6,June,Jun,25,19,Friday,6,No
2020-06-20,2020,2,6,June,Jun,25,20,Saturday,7,Yes
2020-06-21,2020,2,6,June,Jun,25,21,Sunday,1,Yes
2020-06-22,2020,2,6,June,Jun,26,22,Monday,2,No
2020-06-23,2020,2,6,June,Jun,26,23,Tuesday,3,No
2020-06-24,2020,2,6,June,Jun,26,24,Wednesday,4,No
2020-06-25,2020,2,6,June,Jun,26,25,Thursday,5,No
