S.N,State
1,Andaman and Nicobar Islands
2,Andhra Pradesh
3,Arunachal Pradesh
4,Assam
5,Bihar
6,Chandigarh
7,Chhattisgarh
8,Dadra and Nagar Haveli
9,Dadra and Nagar Haveli and Daman and Diu
10,Delhi
11,Goa
12,Gujarat
13,Haryana
14,Himachal Pradesh
15,India
16,Jammu and Kashmir
17,Jharkhand
18,Karnataka
19,Kerala
20,Ladakh
21,Lakshadweep
22,Madhya Pradesh
23,Maharashtra
24,Manipur
25,Meghalaya
26,Miscellaneous
27,Mizoram
28,Nagaland
29,Odisha
30,Puducherry
31,Punjab
32,Rajasthan
33,Sikkim
34,Tamil Nadu
35,Telangana
36,Telengana
37,Total
38,Tripura
39,Uttar Pradesh
40,Uttarakhand
41,West Bengal
