Date,State,First Dose Administered,Second Dose Administered,Total Doses Administered
2021-01-16,Andaman and Nicobar Islands,225,0,225
2021-01-16,Haryana,5589,0,5589
2021-01-16,Madhya Pradesh,9219,0,9219
2021-01-18,Andhra Pradesh,46680,0,46680
2021-01-18,Bihar,33389,0,33389
2021-01-18,Chandigarh,265,0,265
2021-01-18,Chhattisgarh,10872,0,10872
2021-01-18,Goa,426,0,426
2021-01-18,Haryana,17642,0,17642
2021-01-18,Himachal Pradesh,4817,0,4817
2021-01-18,Manipur,978,0,978
2021-01-18,Puducherry,554,0,554
2021-01-18,Tamil Nadu,16462,0,16462
2021-01-18,Uttar Pradesh,22644,0,22644
2021-01-19,Andaman and Nicobar Islands,644,0,644
2021-01-19,Chandigarh,469,0,469
2021-01-19,Kerala,23855,0,23855
2021-01-19,Uttar Pradesh,22644,0,22644
2021-01-20,Kerala,24269,0,24269
2021-01-20,Nagaland,2988,0,2988
2021-01-20,Telangana,69405,0,69405
2021-01-21,Assam,10676,0,10676
2021-01-21,Karnataka,138807,0,138807
2021-01-21,Mizoram,2537,0,2537
2021-01-22,Delhi,18844,0,18844
2021-01-22,Haryana,62142,0,62142
2021-01-22,Jharkhand,14806,0,14806
2021-01-22,Karnataka,184699,0,184699
2021-01-22,Ladakh,401,0,401
2021-01-22,Odisha,130007,0,130007
2021-01-22,Tripura,14252,0,14252
2021-01-22,Total,1390592,0,1390592
2021-01-23,Chandigarh,1502,0,1502
2021-01-23,Lakshadweep,633,0,633
2021-01-23,Madhya Pradesh,38278,0,38278
2021-01-23,Punjab,30319,0,30319
2021-01-23,West Bengal,84505,0,84505
2021-01-24,Kerala,53529,0,53529
2021-01-24,Lakshadweep,633,0,633
2021-01-24,Odisha,152371,0,152371
2021-01-24,Telangana,110031,0,110031
2021-01-25,Delhi,33219,0,33219
2021-01-25,Goa,1796,0,1796
2021-01-25,Himachal Pradesh,13544,0,13544
2021-01-25,Tripura,19698,0,19698
2021-01-26,Himachal Pradesh,13544,0,13544
2021-01-26,Kerala,71973,0,71973
2021-01-26,Uttar Pradesh,123761,0,123761
2021-01-27,Dadra and Nagar Haveli and Daman and Diu,665,0,665
2021-01-27,Goa,2311,0,2311
2021-01-27,Uttar Pradesh,123761,0,123761
2021-01-28,Dadra and Nagar Haveli and Daman and Diu,779,0,779
2021-01-28,Delhi,48008,0,48008
2021-01-28,Ladakh,818,0,818
2021-01-28,Lakshadweep,746,0,746
2021-01-28,Uttarakhand,19517,0,19517
2021-01-29,Chandigarh,2977,0,2977
2021-01-29,Dadra and Nagar Haveli and Daman and Diu,940,0,940
2021-01-29,Gujarat,221675,0,221675
2021-01-29,Odisha,205200,0,205200
2021-01-29,Punjab,54988,0,54988
2021-01-30,Assam,38106,0,38106
2021-01-30,Chandigarh,3447,0,3447
2021-01-30,Chhattisgarh,72704,0,72704
2021-01-30,Dadra and Nagar Haveli and Daman and Diu,1083,0,1083
2021-01-30,Odisha,206424,0,206424
2021-01-30,Puducherry,2736,0,2736
2021-01-30,Telangana,168606,0,168606
2021-01-31,Manipur,3987,0,3987
2021-01-31,Tamil Nadu,105821,0,105821
2021-02-01,Andaman and Nicobar Islands,2727,0,2727
2021-02-01,Andhra Pradesh,187252,0,187252
2021-02-01,Jharkhand,48057,0,48057
2021-02-01,Maharashtra,310825,0,310825
2021-02-01,Tripura,31190,0,31190
2021-02-02,Ladakh,1234,0,1234
2021-02-02,Nagaland,4093,0,4093
2021-02-02,Rajasthan,339218,0,339218
2021-02-03,Arunachal Pradesh,9846,0,9846
2021-02-03,Dadra and Nagar Haveli and Daman and Diu,1487,0,1487
2021-02-03,Maharashtra,354633,0,354633
2021-02-03,Rajasthan,363521,0,363521
2021-02-03,Telangana,176732,0,176732
2021-02-04,Arunachal Pradesh,10889,0,10889
2021-02-04,Bihar,312339,0,312339
2021-02-04,Haryana,133637,0,133637
2021-02-04,Kerala,270992,0,270992
2021-02-04,Madhya Pradesh,339386,0,339386
2021-02-04,Rajasthan,384810,0,384810
2021-02-04,Tamil Nadu,145928,0,145928
2021-02-05,Haryana,137706,0,137706
2021-02-05,Jammu and Kashmir,41624,0,41624
2021-02-05,Jharkhand,85580,0,85580
2021-02-05,Maharashtra,434943,0,434943
2021-02-05,Uttar Pradesh,673542,0,673542
2021-02-07,Bihar,380229,0,380229
2021-02-07,Jammu and Kashmir,49419,0,49419
2021-02-07,Meghalaya,6859,0,6859
2021-02-07,Total,5812362,0,5812362
2021-02-08,Andaman and Nicobar Islands,3397,0,3397
2021-02-08,Chandigarh,6027,0,6027
2021-02-08,Maharashtra,512476,0,512476
2021-02-08,Odisha,315725,0,315725
2021-02-08,Uttarakhand,79283,0,79283
2021-02-09,Goa,8929,0,8929
2021-02-09,Meghalaya,9069,0,9069
2021-02-09,Sikkim,6961,0,6961
2021-02-09,Tripura,51449,0,51449
2021-02-09,Uttar Pradesh,673542,0,673542
2021-02-09,Uttarakhand,85359,0,85359
2021-02-09,Miscellaneous,67238,0,67238
2021-02-10,Himachal Pradesh,66101,0,66101
2021-02-10,Kerala,326246,0,326246
2021-02-10,Sikkim,7808,0,7808
2021-02-11,Assam,117607,0,117607
2021-02-11,Goa,11391,0,11391
2021-02-11,Maharashtra,608573,0,608573
2021-02-11,Punjab,97668,0,97668
2021-02-11,Tripura,59438,0,59438
2021-02-12,Andaman and Nicobar Islands,3454,0,3454
2021-02-12,Assam,125038,0,125038
2021-02-12,Madhya Pradesh,526095,0,526095
2021-02-12,Punjab,101861,0,101861
2021-02-13,Gujarat,680326,0,680326
2021-02-13,Ladakh,2904,77,2981
2021-02-13,Telangana,278915,3273,282188
2021-02-14,Andaman and Nicobar Islands,3646,0,3646
2021-02-14,Dadra and Nagar Haveli and Daman and Diu,4043,71,4114
2021-02-14,Haryana,195764,588,196352
2021-02-14,Jammu and Kashmir,128822,807,129629
2021-02-14,Karnataka,496234,0,496234
2021-02-14,Ladakh,2904,77,2981
2021-02-14,Odisha,412046,0,412046
2021-02-15,Andaman and Nicobar Islands,3847,182,4029
2021-02-15,Assam,128613,3862,132475
2021-02-15,Kerala,367367,3570,370937
2021-02-15,Ladakh,2904,77,2981
2021-02-15,Manipur,25452,319,25771
2021-02-15,Uttar Pradesh,916568,18394,934962
2021-02-15,West Bengal,545299,9821,555120
2021-02-16,Goa,13147,354,13501
2021-02-16,Kerala,375441,12815,388256
2021-02-16,Uttar Pradesh,916568,18394,934962
2021-02-17,Dadra and Nagar Haveli and Daman and Diu,5623,188,5811
2021-02-17,Jammu and Kashmir,159765,2501,162266
2021-02-17,Lakshadweep,1809,115,1924
2021-02-17,Mizoram,12976,585,13561
2021-02-17,Sikkim,9509,251,9760
2021-02-17,Tamil Nadu,295338,14039,309377
2021-02-17,West Bengal,557880,15866,573746
2021-02-17,Miscellaneous,188661,16639,205300
2021-02-18,Chhattisgarh,321706,14425,336131
2021-02-18,Manipur,35834,901,36735
2021-02-18,Odisha,429212,53401,482613
2021-02-18,Puducherry,7661,454,8115
2021-02-18,Total,9577108,610899,10188007
2021-02-19,Arunachal Pradesh,19608,3951,23559
2021-02-19,Chandigarh,12100,547,12647
2021-02-19,Chhattisgarh,330446,16104,346550
2021-02-19,Dadra and Nagar Haveli and Daman and Diu,6473,322,6795
2021-02-19,Jammu and Kashmir,189840,5282,195122
2021-02-19,Ladakh,5005,358,5363
2021-02-19,Madhya Pradesh,626391,0,626391
2021-02-19,Maharashtra,831921,28465,860386
2021-02-19,Sikkim,11102,698,11800
2021-02-19,Telangana,280277,86051,366328
2021-02-20,Assam,153259,11050,164309
2021-02-20,Gujarat,821940,60130,882070
2021-02-20,Himachal Pradesh,94897,12076,106973
2021-02-20,Maharashtra,875752,46976,922728
2021-02-20,Nagaland,21526,3909,25435
2021-02-20,Telangana,280973,87159,368132
2021-02-20,Uttarakhand,130908,7146,138054
2021-02-21,Bihar,522811,39046,561857
2021-02-21,Madhya Pradesh,640805,3778,644583
2021-02-21,Telangana,280973,87159,368132
2021-02-22,Chandigarh,14198,1089,15287
2021-02-22,Delhi,315841,22788,338629
2021-02-22,Jharkhand,261339,13394,274733
2021-02-22,Ladakh,6610,610,7220
2021-02-22,Lakshadweep,2333,591,2924
2021-02-22,Nagaland,23391,4418,27809
2021-02-22,Odisha,443401,122741,566142
2021-02-22,Tripura,84254,15066,99320
2021-02-22,Total,10487375,1258177,11745552
2021-02-23,Bihar,532936,59521,592457
2021-02-23,Chandigarh,15766,1237,17003
2021-02-23,Mizoram,17315,3490,20805
2021-02-24,Andaman and Nicobar Islands,5644,2118,7762
2021-02-24,Assam,179625,15795,195420
2021-02-24,Jammu and Kashmir,217910,10285,228195
2021-02-24,Puducherry,9436,1023,10459
2021-02-24,Tripura,86336,16416,102752
2021-02-24,Uttar Pradesh,1140754,86021,1226775
2021-02-25,Andaman and Nicobar Islands,6034,2385,8419
2021-02-25,Haryana,220672,68361,289033
2021-02-25,Karnataka,596274,192934,789208
2021-02-25,Madhya Pradesh,649377,131088,780465
2021-02-25,Maharashtra,1010322,131968,1142290
2021-02-25,Meghalaya,28860,1350,30210
2021-02-25,Uttarakhand,140671,14323,154994
2021-02-26,Goa,18722,2072,20794
2021-02-26,Tripura,89449,21529,110978
2021-02-26,Uttar Pradesh,1170925,310058,1480983
2021-02-26,West Bengal,961416,144765,1106181
2021-02-27,Chandigarh,20890,1712,22602
2021-02-27,Kerala,482445,104866,587311
2021-02-27,West Bengal,961416,144765,1106181
2021-02-28,Ladakh,9226,829,10055
2021-02-28,Madhya Pradesh,650684,160632,811316
2021-02-28,Uttarakhand,142340,19446,161786
2021-03-01,Chhattisgarh,386030,57807,443837
2021-03-01,Himachal Pradesh,102373,25720,128093
2021-03-02,Andhra Pradesh,554530,144834,699364
2021-03-02,Goa,23200,3208,26408
2021-03-02,Gujarat,979651,191852,1171503
2021-03-02,Rajasthan,1005225,256548,1261773
2021-03-02,Miscellaneous,802509,50555,853064
2021-03-03,Delhi,423800,48011,471811
2021-03-03,Gujarat,1028606,200859,1229465
2021-03-03,Meghalaya,33984,2228,36212
2021-03-03,Uttar Pradesh,1178302,310119,1488421
2021-03-04,Mizoram,30949,9109,40058
2021-03-04,Sikkim,21341,2689,24030
2021-03-04,Tamil Nadu,585353,84064,669417
2021-03-04,West Bengal,1165605,210948,1376553
2021-03-05,Andhra Pradesh,619712,166166,785878
2021-03-05,Himachal Pradesh,117053,42818,159871
2021-03-05,Jharkhand,327826,54239,382065
2021-03-05,Sikkim,23234,3759,26993
2021-03-06,Arunachal Pradesh,36210,9457,45667
2021-03-06,Gujarat,1420465,344516,1764981
2021-03-06,Karnataka,703891,235607,939498
2021-03-06,Lakshadweep,2638,832,3470
2021-03-06,Manipur,68405,5009,73414
2021-03-07,Arunachal Pradesh,36210,9457,45667
2021-03-07,Chhattisgarh,513728,120922,634650
2021-03-07,Haryana,279531,86121,365652
2021-03-07,Karnataka,704249,235677,939926
2021-03-07,Mizoram,32984,9213,42197
2021-03-07,Uttar Pradesh,1300671,411044,1711715
